observation_time_utc,tempf,humidity,dew_point,baromrelin
2026-04-12T03:35:00.000Z,63.0,91.0,60.33,29.855
2026-04-12T03:41:00.000Z,63.1,91.0,60.43,29.849
2026-04-12T03:47:00.000Z,63.1,91.0,60.43,29.846
2026-04-12T03:52:00.000Z,63.3,92.0,60.93,29.849
2026-04-12T03:59:00.000Z,63.5,91.0,60.82,29.849
2026-04-12T04:05:00.000Z,63.9,91.0,61.22,29.843
2026-04-12T04:11:00.000Z,64.2,90.0,61.2,29.843
2026-04-12T04:17:00.000Z,65.1,86.0,60.8,29.837
2026-04-12T04:23:00.000Z,66.0,85.0,61.36,29.837
2026-04-12T04:29:00.000Z,66.4,83.0,61.07,29.837
2026-04-12T04:35:00.000Z,67.1,81.0,61.07,29.834
2026-04-12T04:41:00.000Z,67.8,78.0,60.68,29.834
2026-04-12T04:47:00.000Z,68.4,77.0,60.9,29.831
2026-04-12T04:52:00.000Z,68.9,76.0,61.01,29.831
2026-04-12T04:58:00.000Z,69.3,74.0,60.65,29.834
2026-04-12T05:05:00.000Z,69.6,74.0,60.94,29.834
2026-04-12T05:11:00.000Z,69.4,73.0,60.36,29.831
2026-04-12T05:17:00.000Z,69.4,72.0,59.97,29.834
2026-04-12T05:23:00.000Z,69.8,72.0,60.36,29.831
2026-04-12T05:29:00.000Z,69.8,72.0,60.36,29.825
2026-04-12T05:35:00.000Z,69.8,73.0,60.74,29.828
2026-04-12T05:41:00.000Z,69.3,73.0,60.26,29.825
2026-04-12T05:47:00.000Z,69.3,73.0,60.26,29.828
2026-04-12T05:53:00.000Z,69.1,74.0,60.45,29.828
2026-04-12T05:58:00.000Z,69.1,74.0,60.45,29.831
2026-04-12T06:05:00.000Z,68.7,75.0,60.45,29.825
2026-04-12T06:11:00.000Z,68.7,74.0,60.07,29.825
2026-04-12T06:17:00.000Z,69.1,74.0,60.45,29.825
2026-04-12T06:23:00.000Z,69.1,74.0,60.45,29.825
2026-04-12T06:29:00.000Z,69.1,73.0,60.07,29.822
2026-04-12T06:35:00.000Z,69.4,72.0,59.97,29.822
2026-04-12T06:41:00.000Z,70.0,71.0,60.15,29.825
2026-04-12T06:47:00.000Z,69.8,72.0,60.36,29.828
2026-04-12T06:53:00.000Z,69.4,72.0,59.97,29.825
2026-04-12T06:58:00.000Z,69.4,73.0,60.36,29.825
2026-04-12T07:05:00.000Z,69.4,73.0,60.36,29.822
2026-04-12T07:11:00.000Z,68.9,74.0,60.26,29.816
2026-04-12T07:17:00.000Z,68.9,74.0,60.26,29.813
2026-04-12T07:23:00.000Z,68.9,75.0,60.64,29.816
2026-04-12T07:29:00.000Z,68.5,76.0,60.63,29.813
2026-04-12T07:35:00.000Z,68.4,76.0,60.53,29.816
2026-04-12T07:41:00.000Z,68.2,77.0,60.71,29.813
2026-04-12T07:47:00.000Z,68.0,78.0,60.88,29.813
2026-04-12T07:53:00.000Z,67.5,79.0,60.75,29.816
2026-04-12T07:58:00.000Z,67.3,80.0,60.91,29.811
2026-04-12T08:05:00.000Z,67.3,80.0,60.91,29.819
2026-04-12T08:11:00.000Z,67.3,81.0,61.26,29.811
2026-04-12T08:17:00.000Z,67.3,81.0,61.26,29.813
2026-04-12T08:23:00.000Z,67.5,81.0,61.46,29.819
2026-04-12T08:29:00.000Z,67.6,81.0,61.55,29.816
2026-04-12T08:35:00.000Z,67.6,81.0,61.55,29.822
2026-04-12T08:41:00.000Z,67.8,81.0,61.75,29.822
2026-04-12T08:47:00.000Z,67.6,82.0,61.9,29.822
2026-04-12T08:53:00.000Z,67.5,83.0,62.15,29.822
2026-04-12T08:58:00.000Z,67.5,83.0,62.15,29.816
2026-04-12T09:05:00.000Z,67.5,83.0,62.15,29.822
2026-04-12T09:11:00.000Z,67.5,83.0,62.15,29.816
2026-04-12T09:17:00.000Z,67.5,83.0,62.15,29.819
2026-04-12T09:23:00.000Z,67.5,83.0,62.15,29.822
2026-04-12T09:29:00.000Z,67.5,83.0,62.15,29.819
2026-04-12T09:35:00.000Z,67.5,83.0,62.15,29.819
2026-04-12T09:41:00.000Z,67.5,83.0,62.15,29.819
2026-04-12T09:47:00.000Z,67.5,83.0,62.15,29.828
2026-04-12T09:53:00.000Z,67.5,83.0,62.15,29.825
2026-04-12T09:58:00.000Z,67.5,84.0,62.49,29.825
2026-04-12T10:05:00.000Z,67.5,84.0,62.49,29.825
2026-04-12T10:11:00.000Z,67.1,84.0,62.1,29.828
2026-04-12T10:17:00.000Z,66.9,84.0,61.9,29.828
2026-04-12T10:23:00.000Z,66.9,85.0,62.24,29.825
2026-04-12T10:29:00.000Z,66.7,85.0,62.04,29.828
2026-04-12T10:35:00.000Z,66.7,85.0,62.04,29.831
2026-04-12T10:41:00.000Z,66.6,85.0,61.94,29.828
2026-04-12T10:47:00.000Z,66.6,85.0,61.94,29.828
2026-04-12T10:53:00.000Z,66.4,86.0,62.08,29.828
2026-04-12T10:58:00.000Z,66.4,86.0,62.08,29.828
2026-04-12T11:04:00.000Z,66.4,86.0,62.08,29.831
2026-04-12T11:11:00.000Z,66.2,86.0,61.88,29.828
2026-04-12T11:17:00.000Z,66.0,87.0,62.01,29.831
2026-04-12T11:23:00.000Z,65.8,87.0,61.82,29.831
2026-04-12T11:29:00.000Z,66.0,87.0,62.01,29.831
2026-04-12T11:35:00.000Z,65.8,87.0,61.82,29.831
2026-04-12T11:41:00.000Z,65.7,88.0,62.04,29.837
2026-04-12T11:47:00.000Z,65.7,88.0,62.04,29.831
2026-04-12T11:53:00.000Z,65.7,89.0,62.36,29.828
2026-04-12T11:59:00.000Z,65.7,89.0,62.36,29.825
2026-04-12T12:04:00.000Z,65.7,89.0,62.36,29.828
2026-04-12T12:11:00.000Z,65.8,90.0,62.78,29.828
2026-04-12T12:17:00.000Z,65.8,90.0,62.78,29.822
2026-04-12T12:23:00.000Z,65.8,90.0,62.78,29.831
2026-04-12T12:29:00.000Z,65.8,90.0,62.78,29.834
2026-04-12T12:35:00.000Z,66.0,90.0,62.98,29.84
2026-04-12T12:41:00.000Z,66.4,90.0,63.37,29.837
2026-04-12T12:47:00.000Z,66.7,89.0,63.35,29.834
2026-04-12T12:53:00.000Z,66.9,89.0,63.55,29.828
2026-04-12T12:59:00.000Z,67.5,88.0,63.82,29.834
2026-04-12T13:04:00.000Z,67.8,87.0,63.78,29.831
2026-04-12T13:11:00.000Z,68.0,87.0,63.98,29.825
2026-04-12T13:17:00.000Z,67.6,88.0,63.91,29.825
2026-04-12T13:23:00.000Z,67.5,88.0,63.82,29.828
2026-04-12T13:29:00.000Z,68.0,88.0,64.31,29.828
2026-04-12T13:35:00.000Z,68.2,87.0,64.18,29.825
2026-04-12T13:41:00.000Z,68.4,87.0,64.37,29.822
2026-04-12T13:47:00.000Z,68.9,86.0,64.53,29.825
2026-04-12T13:53:00.000Z,69.4,85.0,64.69,29.819
2026-04-12T13:59:00.000Z,69.4,85.0,64.69,29.822
2026-04-12T14:04:00.000Z,69.4,86.0,65.02,29.819
2026-04-12T14:11:00.000Z,69.8,85.0,65.08,29.802
2026-04-12T14:17:00.000Z,69.8,85.0,65.08,29.799
2026-04-12T14:23:00.000Z,69.8,85.0,65.08,29.802
2026-04-12T14:29:00.000Z,69.8,85.0,65.08,29.799
2026-04-12T14:35:00.000Z,70.2,85.0,65.47,29.802
2026-04-12T14:41:00.000Z,71.4,82.0,65.61,29.805
2026-04-12T14:47:00.000Z,73.0,80.0,66.45,29.805
2026-04-12T14:53:00.000Z,72.1,81.0,65.94,29.811
2026-04-12T14:59:00.000Z,72.0,82.0,66.19,29.816
2026-04-12T15:04:00.000Z,72.7,80.0,66.16,29.819
2026-04-12T15:11:00.000Z,72.5,81.0,66.33,29.813
2026-04-12T15:17:00.000Z,71.6,82.0,65.8,29.816
2026-04-12T15:23:00.000Z,71.1,83.0,65.67,29.813
2026-04-12T15:29:00.000Z,70.9,84.0,65.82,29.808
2026-04-12T15:35:00.000Z,70.5,85.0,65.76,29.813
2026-04-12T15:41:00.000Z,70.7,85.0,65.96,29.825
2026-04-12T15:47:00.000Z,71.4,84.0,66.3,29.825
2026-04-12T15:53:00.000Z,72.0,83.0,66.54,29.831
2026-04-12T15:59:00.000Z,72.7,82.0,66.88,29.834
2026-04-12T16:04:00.000Z,73.4,81.0,67.2,29.831
2026-04-12T16:11:00.000Z,74.5,79.0,67.55,29.834
2026-04-12T16:17:00.000Z,74.5,78.0,67.18,29.828
2026-04-12T16:23:00.000Z,73.8,79.0,66.87,29.834
2026-04-12T16:29:00.000Z,73.4,80.0,66.84,29.849
2026-04-12T16:35:00.000Z,73.0,81.0,66.81,29.843
2026-04-12T16:41:00.000Z,72.5,82.0,66.68,29.846
